name,state_id
igalamela odolu,6445a5424c645a56f6c95a9a
ijumu,6445a5424c645a56f6c95a9a
kabba/bunu,6445a5424c645a56f6c95a9a
kogi,6445a5424c645a56f6c95a9a
lokoja,6445a5424c645a56f6c95a9a
mopa muro,6445a5424c645a56f6c95a9a
ofu,6445a5424c645a56f6c95a9a
ogori/magongo,6445a5424c645a56f6c95a9a
okehi,6445a5424c645a56f6c95a9a
okene,6445a5424c645a56f6c95a9a
olamaboro,6445a5424c645a56f6c95a9a
omala,6445a5424c645a56f6c95a9a
yagba east,6445a5424c645a56f6c95a9a
yagba west,6445a5424c645a56f6c95a9a
asa,6445a5424c645a56f6c95a9c
baruten,6445a5424c645a56f6c95a9c
edu,6445a5424c645a56f6c95a9c
ekiti,6445a5424c645a56f6c95a9c
ifelodun,6445a5424c645a56f6c95a9c
ilorin east,6445a5424c645a56f6c95a9c
ilorin south,6445a5424c645a56f6c95a9c
ilorin west,6445a5424c645a56f6c95a9c
irepodun,6445a5424c645a56f6c95a9c
isin,6445a5424c645a56f6c95a9c
kaiama,6445a5424c645a56f6c95a9c
moro,6445a5424c645a56f6c95a9c
offa,6445a5424c645a56f6c95a9c
oke ero,6445a5424c645a56f6c95a9c
oyun,6445a5424c645a56f6c95a9c
pategi,6445a5424c645a56f6c95a9c
agege,6445a5424c645a56f6c95a9e
ajeromi-ifelodun,6445a5424c645a56f6c95a9e
alimosho,6445a5424c645a56f6c95a9e
amuwo-odofin,6445a5424c645a56f6c95a9e
apapa,6445a5424c645a56f6c95a9e
badagry,6445a5424c645a56f6c95a9e
epe,6445a5424c645a56f6c95a9e
eti osa,6445a5424c645a56f6c95a9e
ibeju-lekki,6445a5424c645a56f6c95a9e
ifako-ijaiye,6445a5424c645a56f6c95a9e
ikeja,6445a5424c645a56f6c95a9e
ikorodu,6445a5424c645a56f6c95a9e
kosofe,6445a5424c645a56f6c95a9e
lagos island,6445a5424c645a56f6c95a9e
lagos mainland,6445a5424c645a56f6c95a9e
mushin,6445a5424c645a56f6c95a9e
ojo,6445a5424c645a56f6c95a9e
oshodi-isolo,6445a5424c645a56f6c95a9e
shomolu,6445a5424c645a56f6c95a9e
surulere,6445a5424c645a56f6c95a9e
akwanga,6445a5424c645a56f6c95aa0
awe,6445a5424c645a56f6c95aa0
doma,6445a5424c645a56f6c95aa0
karu,6445a5424c645a56f6c95aa0
keana,6445a5424c645a56f6c95aa0
keffi,6445a5424c645a56f6c95aa0
kokona,6445a5424c645a56f6c95aa0
lafia,6445a5424c645a56f6c95aa0
nasarawa,6445a5424c645a56f6c95aa0
nasarawa egon,6445a5424c645a56f6c95aa0
obi,6445a5424c645a56f6c95aa0
toto,6445a5424c645a56f6c95aa0
wamba,6445a5424c645a56f6c95aa0
agaie,6445a5424c645a56f6c95aa2
agwara,6445a5424c645a56f6c95aa2
bida,6445a5424c645a56f6c95aa2
borgu,6445a5424c645a56f6c95aa2
bosso,6445a5424c645a56f6c95aa2
chanchaga,6445a5424c645a56f6c95aa2
edati,6445a5424c645a56f6c95aa2
gbako,6445a5424c645a56f6c95aa2
gurara,6445a5424c645a56f6c95aa2
katcha,6445a5424c645a56f6c95aa2
kontagora,6445a5424c645a56f6c95aa2
lapai,6445a5424c645a56f6c95aa2
lavun,6445a5424c645a56f6c95aa2
magama,6445a5424c645a56f6c95aa2
mariga,6445a5424c645a56f6c95aa2
mashegu,6445a5424c645a56f6c95aa2
mokwa,6445a5424c645a56f6c95aa2
moya,6445a5424c645a56f6c95aa2
paikoro,6445a5424c645a56f6c95aa2
rafi,6445a5424c645a56f6c95aa2
rijau,6445a5424c645a56f6c95aa2
shiroro,6445a5424c645a56f6c95aa2
suleja,6445a5424c645a56f6c95aa2
tafa,6445a5424c645a56f6c95aa2
wushishi,6445a5424c645a56f6c95aa2
abeokuta north,6445a5424c645a56f6c95aa4
abeokuta south,6445a5424c645a56f6c95aa4
ado-odo/ota,6445a5424c645a56f6c95aa4
egbado north,6445a5424c645a56f6c95aa4
egbado south,6445a5424c645a56f6c95aa4
ewekoro,6445a5424c645a56f6c95aa4
ifo,6445a5424c645a56f6c95aa4
ijebu east,6445a5424c645a56f6c95aa4
ijebu north,6445a5424c645a56f6c95aa4
ijebu north east,6445a5424c645a56f6c95aa4
ijebu ode,6445a5424c645a56f6c95aa4
ikenne,6445a5424c645a56f6c95aa4
imeko afon,6445a5424c645a56f6c95aa4
ipokia,6445a5424c645a56f6c95aa4
obafemi owode,6445a5424c645a56f6c95aa4
